,category,question,answers,good_answer
0,Miscelánea,¿En qué país se fabrica el Ron Brugal?,"['República Dominicana', 'Venezuela', 'México', 'Cuba']",República Dominicana
0,Deporte,¿Cuál es el brazo hábil de Andy Murray?,"['Ninguno', 'Ambos', 'Derecho', 'Izquierdo']",Derecho
0,Cine y Televisión,"¿Qué animal era Rodolfo, el muñeco de la ventrilocua Mari Carmen?","['Pato', 'León', 'Cuervo', 'Cerdo']",León
0,Ciencia y Naturaleza,¿Dónde se encuentra el yacimiento arqueológico de Le Moustier?,"['En Bélgica', 'En Suiza', 'En Líbano', 'En Francia']",En Francia
0,Cine y Televisión,¿De qué país es la cadena de televisión NBC?,"['Italia', 'México', 'Estados Unidos', 'Reino Unido']",Estados Unidos
0,Geografía,¿Cual es la ciudad más poblada de Chile?,"['Antofagasta', 'Valparaíso', 'Santiago de Chile', 'Concepción']",Santiago de Chile
0,Ciencia y Naturaleza,¿Qué es el Niño de Taung?,"['Los restos de un niño en un enterramiento Mapuche', 'Un humano de 12.000 años encontrado en el Glaciar de Sorata (Bolivia)', 'Un fósil de Australopithecus africanus encontrado en Sudáfrica', 'El primer fósil de Homo sapiens encontrado']",Un fósil de Australopithecus africanus encontrado en Sudáfrica
0,Cine y Televisión,¿Qué son los protagonistas de CSI?,"['Médicos', 'Jóvenes ricos', 'Forenses', 'Supervivientes de un accidente aereo']",Forenses
0,Música,¿Cómo se tituló el primer disco de Chambao?,"['Pokito a poko', 'Endorfinas en la mente', 'Con otro aire', 'Flamenco Chill']",Flamenco Chill
0,Ciencia y Naturaleza,¿Entre qué planetas está el cinturón de asteroides?,"['Venus y Saturno', 'Marte y Júpiter', 'La tierra y Urano', 'Mercurio y Neptuno']",Marte y Júpiter
0,Cine y Televisión,"¿Cómo se llama el actor de ""El mentalista"" que hace da Patrick Jane?","['Val Kilmer', 'Igual que en la serie', 'Owain Yeoman', 'Simon Baker']",Simon Baker
0,Historia,¿Cuál era el segundo apellido de Francisco Franco?,"['Hermenegildo', 'Teódulo', 'Paulino', 'Bahamonde']",Bahamonde
0,Cine y Televisión,¿Quien dirigió 'Los amantes del círculo polar' y 'Lucía y el sexo'?,"['Julio Medem', 'Pilar Miró', 'Montxo Armendáriz', 'Luis Buñuel']",Julio Medem
0,Ciencia y Naturaleza,En mineralogía ¿Qué es la Dureza?,"['La dificultad para destruir por aplastamiento un mineral', 'La posibilidad de obtener láminas de un material', 'La facilidad de los materiales de deformarse hasta obtener hilos', 'La dificultad para rayar la superficie de un material']",La dificultad para rayar la superficie de un material
0,Música,¿De que murió Ian Curtis (cantante de Joy Division)?,"['Sobredosis de cocaína', 'En un accidente automovilistico', 'Cáncer de pulmón', 'Se ahorcó en la cocina de su casa']",Se ahorcó en la cocina de su casa
0,Cine y Televisión,¿Quien es Guillermo del Toro?,"[""El director de 'El espiñazo del diablo'"", ""El director de 'Transsiberian'"", ""El director de 'El método'"", ""El director de 'Abre los ojos'""]",El director de 'El espiñazo del diablo'
0,Cine y Televisión,"¿Cómo acaba Titanic, la película de James Cameron?","['Él muere congelado', 'Se salvan los dos', 'Mueren los dos', 'El Titanic finalmente no se hunde']",Él muere congelado
0,Ciencia y Naturaleza,¿Cuál es la fórmula más famosa de Albert Einstein?,"['E = ml²', 'M = cE²', 'E = mc', 'E = mc²']",E = mc²
0,Arte y Literatura,¿Dónde se encuentra el Mausoleo de Qin Shi Huang?,"['En Japón', 'En China', 'En India', 'En Mongolia']",En China
0,Música,¿Quién canta la canción One Moment More?,"['Zoe', 'Whitney Houston', 'Jaguares', 'Mindy Smith']",Mindy Smith
0,Geografía,¿Cual es la capital de Samoa?,"['Apia', 'Dar es Salaam', 'Nairobi', 'Berlín']",Apia
0,Deporte,¿Quién marcó el último gol del mundial de Surafrica 2010?,"['Andrés Iniesta', 'Lionel Messi', 'Diego Forlán', 'David Villa']",Andrés Iniesta
0,Miscelánea,¿Con que valor del dado se puede sacar ficha en el Parchís?,"['3', '5', '6', '2']",5
0,Miscelánea,¿A qué día se le llama Viernes Negro en Estados Unidos?,"['Al día que fuero atacadas las torres gemelas', 'Al día que se inaugura la temporada de compras navideñas', 'Al día que se produjo el crack del 29', 'Al 31 de Octubre']",Al día que se inaugura la temporada de compras navideñas
0,Cine y Televisión,¿Cómo se llamaba el padre de los ocho niños de 'Con ocho basta'?,"['Jonh', 'Nicholas', 'Tom', 'David']",Tom
0,Cine y Televisión,¿Quién presenta el programa de denuncia titulado 'Diario de ...'?,"['Javier Sardá', 'José Luis Moreno', 'Mercedes Milá', 'Santiago Segura']",Mercedes Milá
0,Historia,¿Cuál fue la capital de los aztecas?,"['Chichén Itzá', 'México-Tenochtitlan', 'Tollan-Xicocotitlan', 'Aztlán']",México-Tenochtitlan
0,Cine y Televisión,¿Quién interpreta a Zahara en 'La mala educación' de Pedro Almodóvar?,"['Jordi Mollà', 'Fernando Tejero', 'Guillermo Toledo', 'Gael García Bernal']",Gael García Bernal
0,Arte y Literatura,¿Quién escribió 'Ensayo sobre la ceguera'? (Premi Nobel de Literatura 1998),"['Gao Xingjian', 'Miguel Delibes', 'Boris Izaguirre', 'José Saramago']",José Saramago
0,Ciencia y Naturaleza,¿Qué es la Geosfera?,"['La capa gaseosa de la Tierra', 'El conjunto de seres vivos propios de la Tierra', 'La parte sólida de la Tierra', 'La capa formada por el agua sobre y bajo la superficie de la Tierra']",La parte sólida de la Tierra
0,Historia,¿Quien fue el fundador del Primer Imperio Mongol?,"['Emperador Meiji', 'Sun Yat-sen', 'Kim Gu', 'Gengis Kan']",Gengis Kan
0,Arte y Literatura,¿Cual de las siguientes obras NO es de Ken Follet?,"['En el blanco', 'La isla de las Tormentas', 'El Silmarilion', 'Los Pilares de la Tierra']",El Silmarilion
0,Deporte,¿Qué tipo de ciclismo consiste en hacer trucos sobre la bicicleta?,"['Four Cross', 'Freestyle', 'Trial', 'Ciclismo de sala']",Freestyle
0,Música,¿Quién cantaba 'Amores de barra' y 'Cómo repartimos los amigos'?,"['Ella baila sola', 'Amaral', 'Jarabe de palo', 'Héroes del silencio']",Ella baila sola
0,Música,¿De quién es la canción I Want to Hold Your Hand?,"['De Paul Simon', 'De Whitney Houston', 'De The Beatles', 'De Elvis Presley']",De The Beatles
0,Miscelánea,¿Cuál de los siguientes quesos NO es italiano?,"['Mascarpone', 'Gorgonzola', 'Emmental', 'Mozzarella']",Emmental
0,Ciencia y Naturaleza,¿Cuantos tentáculos tiene un pulpo?,"['10', '8', '5', '4']",8
0,Deporte,"¿En qué Conferencia juega el equipo de la NBA, Chicago Bulls?","['Conferencia Este', 'Conferencia Oeste', 'Conferencia Sur', 'Conferencia Norte']",Conferencia Este
0,Cine y Televisión,¿Quién es el 'Principe de Bel-Air'?,"['Martin Lawrence', 'Marg Hendelberger', 'Joe Pantoliano', 'Will Smith']",Will Smith
0,Historia,¿Qué guerra tiene el record de haber sido la más sangrienta de toda la historia?,"['La Segunda Guerra Mundial', 'La Primera Guerra Mundial', 'La Guerra de los Cien Años', 'La Guerra de Arauco']",La Segunda Guerra Mundial
0,Geografía,¿Dónde está la plaza Piccadilly Circus?,"['Londres', 'Roma', 'París', 'Berlín']",Londres
0,Arte y Literatura,¿Quiénes fueron alumnos de Verrocchio?,"['Tiziano y Alberto Durero', 'Miguel Angel y Rafael', 'Leonardo da Vinci, Perugino, Ghirlandaio y Sandro Botticelli', 'Gaudí y Dalí']","Leonardo da Vinci, Perugino, Ghirlandaio y Sandro Botticelli"
0,Historia,¿Cuántas esposas tuvo Enrique VIII?,"['cinco', 'cuatro', 'dos', 'Seis']",Seis
0,Historia,¿Quién invadió Galia en el año 451?,"['La civilización britana', 'Julio César y sus legiones', 'El Imperio Otomano', 'Atila, el líder de los hunos']","Atila, el líder de los hunos"
0,Música,¿De quién es el disco Morrison Hotel?,"['The Beatles', 'Rolling Stones', 'The Doors', 'AC/DC']",The Doors
0,Geografía,Junto con el Tayiko ¿Qué otro idioma es oficial en Tayikistán?,"['Turco', 'Persa', 'Japonés', 'Mongol']",Persa
0,Historia,¿En qué año tuvo lugar la reunificación alemana?,"['1891', '1987', '1999', '1990']",1990
0,Miscelánea,¿De qué nacionalidad es el inventor del Tetris?,"['Japonés', 'Inglés', 'Ruso', 'Americano']",Ruso
0,Historia,¿En qué año se fundó Santiago de Cuba?,"['1609', '1493', '1501', '1515']",1515
0,Deporte,¿En qué año se celebró por primera vez la Vuelta a Colombia?,"['1968', '1951', '1911', '1899']",1951
0,Arte y Literatura,¿Quién escribió 'Don Juan Tenorio'?,"['Baltasar Gracián', 'Isaac Asimov', 'José Zorrilla', 'Gustavo Adolfo Bécquer']",José Zorrilla
0,Historia,¿Quien fue el primer emperador romano?,"['Claudio', 'Tiberio', 'Calígula', 'César Augusto']",César Augusto
0,Historia,¿Quién fue el desubridor europeo del Oceano Indico?,"['Cristóbal Colón', 'Juan Sebastián El Cano', 'Vasco de Gama', 'Fernando de Magallanes']",Vasco de Gama
0,Música,"¿En qué disco aparece la canción de The Beatles Ob-La-Di, Ob-La-Da?","['En The Beatles', 'En Yesterday and Today', 'En Rubber Soul', ""En Sgt. Pepper's Lonely Hearts Club Band""]",En The Beatles
0,Historia,¿En que año nació Napoleón Bonaparte?,"['1766', '1789', '1769', '1754']",1769
0,Cine y Televisión,"¿Quién es Jacinta Jiménez, la profesora de Actividades Especiales de Un Paso Adelante?","['Esther Arroyo', 'Toni Acosta', 'Lola Herrera', 'Dafne Fernández']",Toni Acosta
0,Geografía,¿En qué continente se encuentra el río Niger?,"['En Asia', 'En América', 'En Oceanía', 'En Africa']",En Africa
0,Cine y Televisión,¿Quién es el director de la película española ' Vacas'?,"['Fernando Trueba', 'Pedro Almodovar', 'Álex de la Iglesia', 'Julio Médem']",Julio Médem
0,Deporte,¿Quien fue el ganador del Premio Príncipe de Asturias de los Deportes 2008?,"['El nadador Michael Phelps', 'El tenista Rafael Nadal', 'La atleta Yelena Isinbáyeva', 'El atleta Usain Bolt']",El tenista Rafael Nadal
0,Ciencia y Naturaleza,¿Hace cuanto tiempo se extinguió el Homo floresiensis?,"['Hace 12.000 años', 'Hace 1.500 años', 'Hace 47 millones de años', 'Hace 250.000 años']",Hace 12.000 años
0,Arte y Literatura,¿Quién escribió 'Alicia en el país de las maravillas'?,"['John Bly', 'Lewis Carroll', 'Jane Yolen', 'Christian Andersen']",Lewis Carroll
0,Arte y Literatura,Obra de Miguel de Cervantes Saavedra ...,"['Fábula de Polifemo y Galatea', 'El burlador de Sevila y convidado de piedra', 'Novelas ejemplares', 'Las firmezas de Isabela']",Novelas ejemplares
0,Arte y Literatura,¿Quién escribió de Cometas en el cielo?,"['Marc Forster', 'Hana Makhmalbaf', 'Coetzee', 'Khaled Hosseini']",Khaled Hosseini
0,Cine y Televisión,¿Quien es Julio Médem?,"[""El director de 'Caótica Ana'"", ""El director de 'Todo sobre mi madre'"", ""El director de 'El espinazo del diablo'"", ""El director de 'El perro del hortelano'""]",El director de 'Caótica Ana'
0,Deporte,¿Qué ocurre si el balón sale por la línea de meta habiendo sido tocado por un futbolista del equipo atacante?,"['Saque de meta', 'Se cambia al jugador que sacó el balón', 'Saque de banda', 'Saque de esquina']",Saque de meta
0,Ciencia y Naturaleza,¿Quién desarrolló la dactilografía?,"['Juan Vucetich', 'John Wesley Hyatt', 'Robert Koch', 'Willem Einthoven']",Juan Vucetich
0,Arte y Literatura,¿De qué nacionalidad es el jugador de beisbol Roberto Clemente?,"['De Puerto Rico', 'De Venezuela', 'De Cuba', 'De la República Dominicana']",De Puerto Rico
0,Miscelánea,¿De dónde es originaria la raza de perro Husky?,"['India', 'Siberia', 'Japón', 'China']",Siberia
0,Historia,¿Cuál fue el epicentro del Renacimiento Italiano?,"['Roma', 'Nápoles', 'Sicilia', 'Toscana']",Toscana
0,Miscelánea,¿Qué día es el 28 de Junio?,"['El Día Internacional de las Naciones Unidas', 'El Día Internacional del Libro y del Derecho de Autor', 'El Día Internacional del Orgullo Gay', 'El Día Internacional de los Trabajadores']",El Día Internacional del Orgullo Gay
0,Geografía,¿Cual de los siguientes países de Sudamérica está situado más al Norte?,"['Guayana', 'Brasil', 'Uruguay', 'Paraguay']",Guayana
0,Arte y Literatura,¿De qué estilo es la Catedral de Burgos?,"['Gótico', 'Churrigueresco', 'Plateresco', 'Románico']",Gótico
0,Geografía,¿En qué continente está el río Amazonas?,"['Oceanía', 'Asia', 'Africa', 'América']",América
0,Geografía,¿Cual es la capital de Grecia?,"['Patrai', 'Thessaloniki', 'Kavalla', 'Atenas']",Atenas
0,Miscelánea,¿Qué empresa desarrolló la Lycra?,"['Basf', 'Dow Chemical Company', 'Levi Strauss', 'DuPont']",DuPont
0,Arte y Literatura,¿Cual es el monumento más visitado del mundo?,"['Las Pirámides de Giza en Egipto', 'La Torre Eiffel en París', 'El Edificio Empire State en Nueva York', 'El Coliseo de Roma']",La Torre Eiffel en París
0,Cine y Televisión,¿Cómo se llaman en la ficción los protagonistas de la serie Primos Lejanos?,"['Balki y Larry', 'Jenny y Ling', 'Richard y Billy', 'Sonny y Rico']",Balki y Larry
0,Cine y Televisión,¿Con qué película obtuvo Steven Spielberg el Oscar a la Mejor Película (1993)?,"['La Lista de Schindler', 'Salvar al Soldado Ryan', 'El Color Púrpura', 'Munich']",La Lista de Schindler
0,Miscelánea,¿En que dirección se mueven las piezas en las Damas?,"['En diagonal hacia adelante y atrás', 'En diagonal y hacia adelante, salvo la reina', 'Recto y hacia adelante y atrás', 'Recto y en diagonal hacia adelante']","En diagonal y hacia adelante, salvo la reina"
0,Deporte,"¿En qué ciudad de Estados Unidos tienen su sede Los Blazers, el equipo de la NBA?","['Detroit', 'Portland', 'Phoenix', 'Boston']",Portland
0,Música,¿Cuál de los siguientes discos NO pertenece a la discografía de Ana Belén?,"['Anatomía', 'Aidalai', ""Viva l'Italia"", 'Peces de ciudad']",Aidalai
0,Historia,¿De qué país fue colonia la India?,"['Holanda', 'Portugal', 'Inglaterra', 'Francia']",Inglaterra
0,Arte y Literatura,¿Qué estilo precedió al Gótico?,"['Románico', 'Barroco', 'Romanticismo', 'Realismo']",Románico
0,Cine y Televisión,"En Los hombres de Paco ¿Quién interpreta a Lola Castro, la mujer de Paco?","['Beatriz Rico', 'Adriana Ozores', 'Alicia Hermida', 'Natalia Dicenta']",Adriana Ozores
0,Geografía,¿Cuál es el distrito más poblado de la ciudad de Nueva York?,"['Brooklyn', 'Staten Island', 'Queens', 'Manhattan']",Brooklyn
0,Cine y Televisión,¿Quién interpreta a Spock en Star Trek?,"['George Takei', 'Leonard Nimoy', 'William Shatner', 'Patrick Stewart']",Leonard Nimoy
0,Arte y Literatura,¿Quién escribió Cumbres Borrascosas?,"['Charlotte Brontë', 'Jane Austen', 'Agatha Christie', 'Emily Brontë']",Emily Brontë
0,Arte y Literatura,¿Qué nombre reciben los versos que acaban con una palabra esdrújula?,"['Oxítonos', 'Paroxítonos', 'Ropálico', 'Proparoxítonos']",Proparoxítonos
0,Geografía,¿Qué río pasa por Londres?,"['El Loira', 'El Támesis', 'El Rin', 'El Sena']",El Támesis
0,Miscelánea,¿Qué es Red Bull?,"['Una marca de cerveza', 'Un modelo de coche Hummer', 'Una marca de chocolatina', 'Una bebida energética']",Una bebida energética
0,Música,¿Quién compuso para Paul Wittgenstein 'Concierto para la mano izquierda'?,"['Ravel', 'Chopin', 'Satie', 'Nyman']",Ravel
0,Música,¿Quien compuso la música de la ópera Aida?,"['Richard Wagner', 'Richard Strauss', 'Giuseppe Verdi', 'Giacomo Puccini']",Giuseppe Verdi
0,Historia,"La Constitución Española del 78 abolió la pena de muerte, con una única excepción ¿Cuál?","['Excepto por crímenes en serie', 'Excepto por pedofilia y pederastia', 'Excepto en tiempos de guerra', 'Excepto por atentados terroristas']",Excepto en tiempos de guerra
0,Geografía,¿Dónde está California?,"['Al noroeste de Estados Unidos', 'En la costa sureste de Estados Unidos', 'En la costa suroeste de Estados Unidos', 'Al sur de Estados Unidos']",En la costa suroeste de Estados Unidos
0,Arte y Literatura,¿De qué estilo es El Monasterio del Escorial (Madrid)?,"['Renacentista', 'Modernista', 'Románico', 'Barroco']",Renacentista
0,Ciencia y Naturaleza,¿Qué superficie refleja mayor cantidad de luz?,"['Los bosques', 'La nieve', 'El océano', 'La ceniza volcánica']",La nieve
0,Miscelánea,"¿Qué genero gramatical tiene la palabra ""antípodas""?","['Femenino', 'Masculino y femenino', 'Neutro', 'Masculino']",Masculino y femenino
0,Arte y Literatura,"Autor de Los miserables, novela francesa del siglo XIX","['Victor Hugo', 'Laconte de Lisle', 'André Malraux', 'George Sand']",Victor Hugo
0,Música,Grupo británico de heavy metal fundado en 1979 por Steve Harris ...,"['Queen', 'Iron Maiden', 'Ramones', 'Sex Pistols']",Iron Maiden
0,Música,¿Qué hicieron Los Rebeldes 'Bajo la luz de la luna'?,"['El amor', 'Escribir una canción', 'Componer un poena', 'Bailar pegados']",El amor
0,Ciencia y Naturaleza,¿De qué especie es el Hombre de Pekín?,"['Homo habilis', 'Australopithecus afarensis', 'Homo erectus', 'Homo rudolfensis']",Homo erectus
0,Arte y Literatura,¿Dónde está la Torre Picasso de Minoru Yamasaki?,"['Barcelona', 'Madrid', 'New York', 'París']",Madrid
0,Cine y Televisión,"¿De qué género es la película 'Los Increíbles', estrenada en el año 2004?","['Película de animación', 'Película de aventuras', 'Película de ciencia ficción', 'Película de acción']",Película de animación
0,Cine y Televisión,¿Qué película de Luis Piedrahita y Rodrigo Sopeña basa su argumento en la Conjetura de Goldbach?,"['¿Y tú quién eres?', 'Todos a la cárcel', 'La habitación de Fermat', 'Los crímenes de Oxford']",La habitación de Fermat
0,Ciencia y Naturaleza,¿En qué año recibió Severo Ochoa el Premio Nobel de Medicina?,"['1966', '1942', '1959', '1978']",1959
0,Ciencia y Naturaleza,¿Dónde se descubrieron los primeros fósiles de Homo heidelbergensis?,"['En España', 'En italia', 'En Alemania', 'En Bolivia']",En Alemania
0,Arte y Literatura,¿En qué famosa obra aparece Abraham Van Helsing?,"['En Drácula', 'En El Retrato de Dorian Gray', 'En El Resplandor', 'En Frankenstein']",En Drácula
0,Geografía,¿Cual es la capital de la República Islámica de Afganistán?,"['Jalalabad', 'Kabul', 'Kandahar', 'Balh']",Kabul
0,Música,¿Quién preguntó 'Has visto alguna vez la lluvia'?,"['Rolling Stones', 'Creedence', 'Bob Dylan', 'Paul Anka']",Creedence
0,Ciencia y Naturaleza,¿Cuando se formó la Tierra?,"['Hace 2009 años', 'Hace 1000 millones de años', 'Hace 5000 años', 'Hace 4570 millones de años']",Hace 4570 millones de años
0,Geografía,¿En que país está la ciudad de Carapeguá?,"['Hungría', 'Paraguay', 'Alemania', 'Bolivia']",Paraguay
0,Ciencia y Naturaleza,¿Quien fue el primer astronauta en salir al espacio?,"['Neil Armstrong', 'Yuri Gagarin', 'Scott Carpenter', 'Valentina Tereshkova']",Yuri Gagarin
0,Arte y Literatura,¿Qué era Moby-Dick?,"['Un perro collie', 'Una gata blanca', 'Un caballo gris', 'Una ballena blanca']",Una ballena blanca
0,Miscelánea,¿Qué significa frugal?,"['Comida preparada sin sal', 'Dietético', 'Excesivo en el comer y beber', 'Moderado en el comer y beber']",Moderado en el comer y beber
0,Música,¿Cual de estos grupos es del genero Black Metal?,"['Therion', 'Dimmu Borgir', 'Nigthwish', 'Antrax']",Dimmu Borgir
0,Historia,¿Qué acontecimientos dan lugar al fin de la Edad Moderna y comienzo de la Contemporánea?,"['La independencia de los EE. UU y la Revolucion industrial', 'El descubrimiento de América y de la imprenta', 'El descubrimiento de la imprenta y la toma de Constantinopla por los turcos', 'La Revolución francesa y el descubrimiento de América']",La independencia de los EE. UU y la Revolucion industrial
0,Arte y Literatura,Autor de 'Las cuitas del joven Werther',"['Goethe', 'Walter Scott', 'Thomas Mann', 'Oscar Wilde']",Goethe
0,Arte y Literatura,¿Quien diseñó L'Hemisfèric en la Ciudad de las Artes y de las Ciencias de Valencia?,"['Josep Lluís Sert', 'Antonio Gaudí', 'Iddefons Cerdá', 'Santiago Calatrava']",Santiago Calatrava
0,Cine y Televisión,¿Sobre que trata la serie Prison Break?,"['Sobre un montín carcelario', 'Sobre un hombre condenado a la pena de muerte', 'Sobre el alcaide de una prisión', 'Sobre un grupo de personas encerrado en un laberinto']",Sobre un hombre condenado a la pena de muerte
0,Arte y Literatura,¿Qué es un petroglifo?,"['Una escultura en piedra del busto de un atleta', 'Un animal con cabeza de águila y cuerpo humano', 'Un grabado en piedra hecho por los habitantes de la prehistoria', 'Una bestia salvaje de la mitología griega']",Un grabado en piedra hecho por los habitantes de la prehistoria
0,Ciencia y Naturaleza,¿Dónde se encuentra el yacimiento arqueológico de Monte Verde?,"['En México', 'En Perú', 'En Chile', 'En Ecuador']",En Chile
0,Música,¿En qué año se celebró el Festival de Woodstock?,"['1979', '1969', '1950', '1940']",1969
0,Cine y Televisión,¿Consigue Truman escapar del reality show en el que vive? (El show de Truman),"['Sí', 'Muere ahogado en el mar', 'Estalla una tormenta, se asusta y desiste', 'No']",Sí
0,Música,¿Quién cantó 'La raja de tu falda'?,"['Estopa', 'Oasis', 'Paulina Rubio', 'The Cure Spain']",Estopa
0,Arte y Literatura,¿Qué autor impresionista pintaba bailarinas de ballet?,"['Camille Pissarro', 'Edgar Degas', 'Claude Monet', 'Pierre-Auguste Renoir']",Edgar Degas
0,Historia,¿En que año tiraron las bombas atómicas sobre Hiroshima y Nagasaki ?,"['1940', '1925', '1939', '1945']",1945
0,Geografía,¿Cual es la capital de Pakistán?,"['Lahore', 'Karachi', 'Islamabad', 'Sukkur']",Islamabad
0,Ciencia y Naturaleza,¿Qué símbolo tiene el Wolframio?,"['Wm', 'Wo', 'W', 'Wlfm']",W
0,Geografía,¿Qué río pasa por Benarés en la India?,"['El Elba', 'El Congo', 'El Ganges', 'El Indo']",El Ganges
0,Arte y Literatura,"¿Con qué nombre se conoce La Catedral de la Intercesión de la Virgen en el Montículo, Moscú (Rusia)?","['Catedral de San Basilio', 'Catedral de La Almudena', 'Catedral de San Pedro', 'Catedral de Wawel']",Catedral de San Basilio
0,Arte y Literatura,¿Quién escribió 'La insólita y gloriosa hazaña del cipote de Archidona'?,"['Camilo José Cela', 'Juan Ramón Jiménez', 'Vicente Aleixandre', 'Jacinto Benavente']",Camilo José Cela
0,Cine y Televisión,Actor protagonista de 'Al este del Edén' ...,"['James Dean', 'Anthoy Quinn', 'Robert Redford', 'Marlon Brando']",James Dean
0,Arte y Literatura,La Alhambra de Granada (España) ¿Qué tipo de construcción es?,"['La mayor biblioteca construida por los musulmanes en al-Ándalus', 'Un templo en honor a Alá construido por los musulmanes', 'Un mercado y centro de reuniones andalusí', 'Un palacio y fortaleza andalusí']",Un palacio y fortaleza andalusí
0,Ciencia y Naturaleza,¿En que estructura de las proteínas se encuentra un protómero?,"['Primaria', 'Terciaria', 'Cuaternaria', 'Secundaria']",Cuaternaria
0,Historia,¿Quién descubrió las Cataratas Victoria?,"['Henry Stanley', 'David Livingstone', 'James Gordon Bennett', 'Mehmet Emin Bajá']",David Livingstone
0,Historia,¿Qué dos países ayudaron a Franco en la Guerra Civil Española?,"['Italia y Alemania', 'Egipto y Grecia', 'Francia e Irlanda', 'Rusia y Suecia']",Italia y Alemania
0,Arte y Literatura,Según la clasificación de la antigua Grecia ¿Qué disciplina artistica NO es una de las seis Bellas Artes?,"['Poesía', 'Danza', 'Arquitectura', 'Historieta']",Historieta
0,Arte y Literatura,¿Qué escritor fue apodado 'El manco de Lepanto'?,"['Quevedo', 'Miguel de Cervantes', 'Miguel Delibes', 'Góngora']",Miguel de Cervantes
0,Deporte,¿De qué país es el equipo de fútbol Bayern Munich?,"['Finlandia', 'Holanda', 'Rusia', 'Alemania']",Alemania
0,Arte y Literatura,Título de la segunda parte de 'El Señor de los Anillos',"['Las dos torres', 'El regreso a la Tierra Media', 'El retorno del Rey', 'La comunidad del anilllo']",Las dos torres
0,Ciencia y Naturaleza,¿Cuál es la célula más grande del mundo?,"['Procariotas', 'Células madre', 'Huevo de Avestruz', 'Eucariotas']",Huevo de Avestruz
0,Música,¿Cómo se tituló el álbum debut de La reina del pop: Madonna?,"['Madonna', 'True blue', 'Like a prayer', 'Like a virgin']",Madonna
0,Geografía,¿En qué continente está el río Amazonas?,"['Africa', 'Oceanía', 'América', 'Asia']",América
0,Miscelánea,¿Qué significa: estar en un brete?,"['Estar en un apuro', 'Estar muy asustado', 'Estar muy nervioso', 'Estar en lo alto de una montaña']",Estar en un apuro
0,Arte y Literatura,¿Quien pintó El caballero de la mano en el pecho?,"['Velázquez', 'Agustín Riancho', 'El Greco', 'Vicent van Gogh']",El Greco
0,Música,¿A qué disco de Maddona pertenece la canción Hung Up?,"['You Can Dance', 'True Blue', 'Confessions on a Dance Floor', ""Who's That Girl""]",Confessions on a Dance Floor
0,Historia,¿Qué dos potencias lideraron los dos bandos enfrentados en la Guerra fría?,"['Estados Unidos y La Unión Soviética', 'Irán e Iraq', 'Egipto y Europa', 'China y Japón']",Estados Unidos y La Unión Soviética
0,Deporte,¿Quién es Javier Sotomayor?,"['El actual número uno de la ATP', 'Un saltador de altura jamaicano y plusmarquista mundial', 'El actual campeón mundial de 100 metros lisos', 'Un saltador de altura cubano y plusmarquista mundial']",Un saltador de altura cubano y plusmarquista mundial
0,Miscelánea,¿Qué se celebra el 31 de Octubre?,"['San Valentín', 'El Día de Todos los Santos', 'Carnaval', 'Halloween']",Halloween
0,Deporte,¿Qué futbolista español es conocido con el sobrenombre de El siete de españa?,"['Fernando Morientes', 'Raúl González Blanco', 'Fernando Hierro', 'Emilio Butragueño']",Raúl González Blanco
0,Ciencia y Naturaleza,¿Qué símbolo tiene el Helio?,"['He', 'Hl', 'Hi', 'H']",He
0,Geografía,¿Con qué país limita por el Norte el país de México?,"['Guatemala', 'Brasil', 'Estados Unidos', 'Argentina']",Estados Unidos
0,Geografía,¿Dónde se encuentra el río Vístula?,"['En Polonia', 'En Turquía', 'En India', 'En Alemania']",En Polonia
0,Música,¿Cual de los siguientes no es un álbum del cantante Miguel Bosé?,"['Papito', 'Salamandra', 'Los chicos no lloran', 'Servicio de Lavandería']",Servicio de Lavandería
0,Arte y Literatura,Autor de 'Doña Rosita la soltera',"['Antonio Machado', 'Federico García Lorca', 'Antonio Gala', 'Antonio Buero Vallejo']",Federico García Lorca
0,Miscelánea,¿En dónde te comerías una Arepa?,"['Latinoamérica', 'Siberia', 'Oceanía', 'Asia']",Latinoamérica
0,Geografía,¿Cual es el gentilicio de Chipre?,"['Chipiota', 'Chipriota', 'Chipritingo', 'Chipiense']",Chipriota
0,Arte y Literatura,¿Cuál es el nombre completo de Leonardo da Vinci?,"['Leoniano Vini Vinci', 'Leonardo di Ser Piero da Vinci', 'Leonardo Vincino', 'Leónidas Vinciano de Médici']",Leonardo di Ser Piero da Vinci
0,Geografía,¿Dónde está la Isla de Vancouver?,"['Océano Atlántico', 'Océano Ártico', 'Océano Índico', 'Océano Pacífico']",Océano Pacífico
0,Deporte,¿Cómo se llama la zona en la que está el hoyo en un campo de Golf?,"['Handicap', 'Green', 'Swing', 'Fairway']",Green
0,Deporte,¿Qué jugador es el máximo anotador de la historia de la NBA?,"['Kareem Abdul Jabbar', 'Michael Jordan', 'Karl Malone', 'Kobe Bryant']",Kareem Abdul Jabbar
0,Cine y Televisión,¿Qué serie ha protagonizado Kiefer Sutherland?,"['24', 'Heroes', 'Luz de Luna', 'Dos hombres y medio']",24
0,Geografía,¿Dónde está San Diego?,"['Nuevo México', 'California', 'Arizona', 'Las Vegas']",California
